ID,Title (English),Title (Telugu),Year,Synopsis (Generated - Needs Review)
9767447a-4084-4e79-9633-0717a00e3e38,"VVAN","-",2026,"VVAN అనేది 2026లో విడుదలైన ఒక తెలుగు సినిమా. Deepak Kumar Mishra దర్శకత్వం వహించిన ఈ చిత్రం. Tamannaah Bhatia ముఖ్య పాత్రలో నటించిన."
8f789ada-dc92-4075-b01e-f052e1b3ab09,"Ramayana: Part One","-",2026,"Ramayana: Part One అనేది 2026లో విడుదలైన ఒక తెలుగు సినిమా. ఈ సినిమా యాక్షన్; డ్రామా ప్రక్రియకు చెందినది. Nitesh Tiwari దర్శకత్వం వహించిన ఈ చిత్రం. Ranbir Kapoor ముఖ్య పాత్రలో నటించిన."
7e4251fe-2e63-4822-92f2-1b1967687358,"Anantha","-",2026,"Anantha అనేది 2026లో విడుదలైన ఒక తెలుగు సినిమా. ఈ సినిమా డ్రామా ప్రక్రియకు చెందినది. Suresh Krissna దర్శకత్వం వహించిన ఈ చిత్రం. Jagapathi Babu ముఖ్య పాత్రలో నటించిన."
2c8c9285-69c9-4a8f-80da-42286d4eb79f,"Sabhaku Namaskaram","-",2026,"Sabhaku Namaskaram అనేది 2026లో విడుదలైన ఒక తెలుగు సినిమా. ఈ సినిమా కామెడీ ప్రక్రియకు చెందినది. Sateesh Mallampati దర్శకత్వం వహించిన ఈ చిత్రం. Allari Naresh ముఖ్య పాత్రలో నటించిన."
1d3806a0-c044-483b-b9ff-b1b9827ac640,"Auto Jaani","-",2026,"Auto Jaani అనేది 2026లో విడుదలైన ఒక తెలుగు సినిమా. ఈ సినిమా యాక్షన్; డ్రామా ప్రక్రియకు చెందినది. Puri Jagannadh దర్శకత్వం వహించిన ఈ చిత్రం. Chiranjeevi ముఖ్య పాత్రలో నటించిన."
8da290f9-a106-4f20-a984-74ec34fa851a,"Bāhubali: The Epic","-",2025,"Bāhubali: The Epic అనేది 2025లో విడుదలైన ఒక తెలుగు సినిమా. ఈ సినిమా యాక్షన్; డ్రామా ప్రక్రియకు చెందినది. S. S. Rajamouli దర్శకత్వం వహించిన ఈ చిత్రం. Prabhas ముఖ్య పాత్రలో నటించిన."
7f14fbcd-5487-4d5c-9d72-889943183cf1,"Anandapuram Diaries","-",2024,"Anandapuram Diaries అనేది 2024లో విడుదలైన ఒక తెలుగు సినిమా. ఈ సినిమా డ్రామా; థ్రిల్లర్ ప్రక్రియకు చెందినది. Jaya Jose Raj దర్శకత్వం వహించిన ఈ చిత్రం. Srikanth ముఖ్య పాత్రలో నటించిన."
388b05da-5217-4eb5-ac82-7cc7401b3f48,"RRR: Behind & Beyond","-",2024,"RRR: Behind & Beyond అనేది 2024లో విడుదలైన ఒక తెలుగు సినిమా. S. S. Rajamouli దర్శకత్వం వహించిన ఈ చిత్రం. N. T. Rama Rao Jr ముఖ్య పాత్రలో నటించిన."
962abd51-04aa-4400-8ced-2ec1fceb50d3,"Operation Laila","-",2024,"Operation Laila అనేది 2024లో విడుదలైన ఒక తెలుగు సినిమా. ఈ సినిమా హారర్; థ్రిల్లర్ ప్రక్రియకు చెందినది. A. Venkatesh దర్శకత్వం వహించిన ఈ చిత్రం. Srikanth ముఖ్య పాత్రలో నటించిన."
0c49a2f1-017f-46e3-936d-819cd2317ead,"Nayanthara: Beyond the Fairy Tale","-",2024,"Nayanthara: Beyond the Fairy Tale అనేది 2024లో విడుదలైన ఒక తెలుగు సినిమా. Amith Krishnan దర్శకత్వం వహించిన ఈ చిత్రం. Vignesh Shivan ముఖ్య పాత్రలో నటించిన."
043bb7f8-1808-417b-9655-4d1fd3b01b4d,"'Salaar: Part 2 – Shouryanga Parvam","-",2023,"'Salaar: Part 2 – Shouryanga Parvam అనేది 2023లో విడుదలైన ఒక తెలుగు సినిమా."
92633b84-876a-40f1-9ccd-43ce4f1f17b8,"Ramachandra Boss &amp; Co","-",2023,"Ramachandra Boss &amp; Co అనేది 2023లో విడుదలైన ఒక తెలుగు సినిమా. Jaya Prada ముఖ్య పాత్రలో నటించిన."
15a92e36-c03d-4b2f-bdac-949c833516b5,"Drama Juniors 4 Telugu","-",2023,"Drama Juniors 4 Telugu అనేది 2023లో విడుదలైన ఒక తెలుగు సినిమా. Jaya Prada ముఖ్య పాత్రలో నటించిన."
e04ca82a-ba9a-4b05-8cd3-e9558cd852b2,"Kisi Ka Bhai... Kisi Ki Jaan","-",2023,"Kisi Ka Bhai... Kisi Ki Jaan అనేది 2023లో విడుదలైన ఒక తెలుగు సినిమా. ఈ సినిమా రొమాంటిక్; యాక్షన్ ప్రక్రియకు చెందినది. Farhad Samji దర్శకత్వం వహించిన ఈ చిత్రం. Salman Khan ముఖ్య పాత్రలో నటించిన."
3fb868b2-8d00-4e26-8f41-66e0586aa82c,"Kannai Nambathe","-",2023,"Kannai Nambathe అనేది 2023లో విడుదలైన ఒక తెలుగు సినిమా. ఈ సినిమా క్రైమ్; థ్రిల్లర్ ప్రక్రియకు చెందినది. Mu. Maran దర్శకత్వం వహించిన ఈ చిత్రం. Udhayanidhi Stalin ముఖ్య పాత్రలో నటించిన."
