id,slug,title,year,pattern,pattern_type,field,current_value,suggested_fix,confidence,reasoning
"de7c0f9e-4e74-49d1-baed-d154aa001843","agni-pravesam-1990","Agni Pravesam",1990,"MUSIC_DIRECTOR_DUO_INCOMPLETE","INCOMPLETE_DUO","music_director","Koti","Raj-Koti",0.9,"""Koti"" is part of duo ""Raj-Koti"""
"32c231ed-8459-4832-9292-9198bb1e7e4d","telugu-veera-levara-1995","Telugu Veera Levara",1995,"MUSIC_DIRECTOR_DUO_INCOMPLETE","INCOMPLETE_DUO","music_director","Koti","Raj-Koti",0.9,"""Koti"" is part of duo ""Raj-Koti"""
"e2d3f4ec-ce83-42ff-bcdf-baa5b5d74a18","ilanjodigal-1982","Ilanjodigal",1982,"MISSING_TELUGU_TITLE","TELUGU_TITLE_REQUIRED","title_te","","Add Telugu title",0.8,"Telugu film ""Ilanjodigal"" is missing Telugu title"
"2898c6f9-f61a-4c7b-8c61-17cfe585d1ac","ramasakkanodu-1999","Ramasakkanodu",1999,"MUSIC_DIRECTOR_DUO_INCOMPLETE","INCOMPLETE_DUO","music_director","Koti","Raj-Koti",0.9,"""Koti"" is part of duo ""Raj-Koti"""
"25938c4e-a16b-4ffb-9e04-6dbc014fbf6a","dammu-2012","Dammu",2012,"NAME_VARIANT_MISMATCH","HERO_NAME_VARIANT","hero","N. T. Rama Rao Jr.","Jr. NTR",0.95,"Standardize ""N. T. Rama Rao Jr."" to ""Jr. NTR"""
"25f82db4-34b8-48a8-ba9d-bfa0e841a394","sange-muzhangu-1972","Sange Muzhangu",1972,"MISSING_TELUGU_TITLE","TELUGU_TITLE_REQUIRED","title_te","","Add Telugu title",0.8,"Telugu film ""Sange Muzhangu"" is missing Telugu title"
"b149e51c-20e1-42fa-92c9-dbaa9f117263","kundan-1993","Kundan",1993,"MISSING_TELUGU_TITLE","TELUGU_TITLE_REQUIRED","title_te","","Add Telugu title",0.8,"Telugu film ""Kundan"" is missing Telugu title"
"839e0266-9357-4e1e-9f2e-fe7f50e7953b","sandhippu-1983","Sandhippu",1983,"MISSING_TELUGU_TITLE","TELUGU_TITLE_REQUIRED","title_te","","Add Telugu title",0.8,"Telugu film ""Sandhippu"" is missing Telugu title"
"5356abfd-e4dc-47e3-8ebc-756818317e70","sabadham-1971","Sabadham",1971,"MISSING_TELUGU_TITLE","TELUGU_TITLE_REQUIRED","title_te","","Add Telugu title",0.8,"Telugu film ""Sabadham"" is missing Telugu title"
"d7d83702-b1a1-493e-b3c6-fe0ebc6da979","nam-naadu-1969","Nam Naadu",1969,"MISSING_TELUGU_TITLE","TELUGU_TITLE_REQUIRED","title_te","","Add Telugu title",0.8,"Telugu film ""Nam Naadu"" is missing Telugu title"
"67d07825-1d0e-4952-9466-baf70bb2c65a","lakshyam-1993","Lakshyam",1993,"MUSIC_DIRECTOR_DUO_INCOMPLETE","INCOMPLETE_DUO","music_director","Koti","Raj-Koti",0.9,"""Koti"" is part of duo ""Raj-Koti"""
