Title (EN),Title (TE),Year,Director,Hero,Heroine,Music Director,Runtime (min),Genres,Synopsis,Missing Fields
"Anaganaga Oka Rowdy","","","Manu Yagnaa","Sumanth","No Female Lead","Mark K. Robin","","Action; Comedy","Anaganaga Oka Rowdy is an action-comedy film that likely revolves around the story of a rowdy or a t","runtime"
"Asuragana Rudra","","","Murali Katragadda","Naresh Agastya","Sangeerthana Vipin","Shekar Chandra","","Crime; Thriller","Asuragana Rudra is a crime thriller that follows the story of a young and ambitious detective, playe","runtime"
"Takshakudu","","","Vinod Anantoju","Anand Deverakonda","Nitanshi Goel","Midhun Mukundan","","Action; Drama","Takshakudu is an action-drama film that follows the story of a young protagonist, played by Anand De","runtime"
"Illicit Relationship","","","Rohit Penumatsa","Abhinay Kadiyala","Thanmai Bolt","Ravi Nidamarthy","","Drama","Illicit Relationship is a drama film that explores the complexities of a forbidden romance between t","runtime"
"Salaar: Part 2 - Shouryaanga Parvam","","","Prashanth Neel","Prabhas","Prithviraj Sukumaran","Ravi Basrur","","Action","Salaar: Part 2 - Shouryaanga Parvam is an action film that likely continues the story of the first p","runtime"
"Pushpa 3 - The Rampage","","","Sukumar","Allu Arjun","Rashmika Mandanna","Devi Sri Prasad","","Action; Crime; Thriller","Pushpa 3 - The Rampage is an action-packed thriller that follows the story of Pushpa, played by Allu","runtime"
"Vishwambhara","","","Malladi Vassishta","Chiranjeevi","Trisha Krishnan","M.M. Keeravaani","","Fantasy","Vishwambhara is a fantasy film that likely follows the journey of its protagonist, played by Chiranj","runtime"
"NTR Neel","","","Prashanth Neel","N.T. Rama Rao Jr.","Tovino Thomas","Ravi Basrur","","Action; Crime; Drama","NTR Neel is an action-packed crime drama that follows the story of a powerful and fearless individua","runtime"
"Anumana Pakshi","","","Vimal Krishna","Rag Mayur","Merin Philip","Sricharan Pakala","","Comedy; Drama","Anumana Pakshi is a comedy-drama film that revolves around the life of a young man, played by Rag Ma","runtime"
"Garividi Lakshmi","","","Gowri Naidu Jammu","Naresh","Anandhi","Charan Arjun","","Family; Drama","Garividi Lakshmi is a family drama that revolves around the life of Lakshmi, played by Anandhi, and ","runtime"
"Mirai Jaithraya","","","Karthik Ghattamaneni","Teja Sajja","Ritika Nayak","","","","Mirai Jaithraya is an upcoming Telugu film directed by Karthik Ghattamaneni, starring Teja Sajja and","runtime"
"Janakiram","","","Ram Prasad Ragutu","Nagendra Babu","Keerthy Suresh","Achu Rajamani","","Romance; Comedy; Action","Janakiram is a romance-comedy-action film that follows the story of Janakiram, played by Nagendra Ba","runtime"
"Comrade Kalyan","","","Janakiram Marella","Sree Vishnu","Mahima Nambiar","Vijai Bulganin","","Romance; Action; Drama","Comrade Kalyan is a romance, action, and drama film that revolves around the life of its protagonist","runtime"
"Arrtham","","","Thellaguti Manikanth","Mahendran","Shraddha Das","Harshavardhan Rameshwar","","Thriller; Action","Arrtham is a thriller action film that revolves around the story of a protagonist, played by Mahendr","runtime"
"Amaran in the City: Chapter 1","","","S. Balaveer","Aadi Saikumar","Avika Gor","Krishna Chaitanya","","","Amaran in the City: Chapter 1 follows the story of Amaran, played by Aadi Saikumar, as he navigates ","runtime"
"AA22xA6","","","Atlee","Allu Arjun","Deepika Padukone","Sai Abhyankkar","","Action; Science Fiction","AA22xA6 is an action-packed science fiction film directed by Atlee, starring Allu Arjun and Deepika ","runtime"
