"Status","Wikipedia Title","Wikipedia Year","Role","Cast Type","DB Movie ID","DB Title","DB Year","Current Attribution","Match %","Suggested Field","Action"
"⚠️ EXISTS_NOT_ATTRIBUTED","Filmfare Award for Best Actor – Telugu","2008","Filmfare Award for Best Actor – Telugu","","0b4ade97-0e2f-47b2-9eff-f4552ddc630f","Daughters' Destiny","2007","Not attributed","90","cast","Add Ravi Teja as Filmfare Award for Best Actor – Telugu"
"⚠️ EXISTS_NOT_ATTRIBUTED","Neninthe","2010","Nandi Award for Best Actor","","90065b76-6efe-48d1-b6e7-cee9e5197745","Modhi Vilayadu","2009","Not attributed","90","cast","Add Ravi Teja as Nandi Award for Best Actor"
"✓ ATTRIBUTED","Balupu","2013","Actor","","cd577897-2101-4a35-b111-666c1eff2c3f","Balupu","2013","Hero: Ravi Teja","100","","None"
"✓ ATTRIBUTED","Power","2014","Actor","","c417edd5-7e3b-4d5f-9e98-bdbfa6a181a4","Power","2014","Hero: Ravi Teja","100","","None"
"✓ ATTRIBUTED","Raja the Great","2017","Actor","","e3926c6b-8070-4c24-9f3f-4a4c05f13641","Raja the Great","2017","Hero: Ravi Teja","100","","None"
"✓ ATTRIBUTED","Disco Raja","2020","Actor","","dde19db1-9c58-4bb1-8026-d225de079f2f","Disco Raja","2020","Hero: Ravi Teja","100","","None"
"✓ ATTRIBUTED","Ravanasura","2023","Actor","","6afec7c0-032f-4d4a-82c5-568086525e19","Ravanasura","2023","Hero: Ravi Teja","100","","None"
"✓ ATTRIBUTED","Nee Kosam","1999","Filmfare Award for Best Actor – Telugu","","b7536b19-31a8-4b1a-8b79-4658c8131426","Nee Kosam","1999","Hero: Ravi Teja","100","","None"
"✓ ATTRIBUTED","Khadgam","2002","Actor","","91dedfd2-327f-4880-9f29-92beb4f04321","Khadgam","2002","Not attributed","100","","None"
"✓ ATTRIBUTED","Kick","2009","Actor","","4bd2d4d8-5913-4289-9b24-4f7078cacf0d","Kick","2009","Hero: Ravi Teja","100","","None"
"✓ ATTRIBUTED","Waltair Veerayya","2023","Filmfare Award for Best Supporting Actor – Telugu","","f2d49db6-b193-4680-b7bb-2b7dd830ba90","Waltair Veerayya","2023","Not attributed","100","","None"
