Year	Title	Director	Hero	Heroine	Genre	Slug
2024	Praveen Kumar VSS	Praveen Kumar VSS	Suhas	Ruhani Sharma	Biographical	praveen-kumar-vss-2024
2024	105 Minuttess	Raju Dussa		Hansika Motwani	Horror	105-minuttess-2024
2024	Tom And Jerry	Jai Sree Sivan		Chaitra Rao	Animation	tom-and-jerry-2024
2023	Neelakanta	Neelakanta	Sai Ronak	No Female Lead	Mythological	neelakanta-2023
2023	Jilebi	Arun Shekar and produced by East Coast Vijayan	Jayasurya	Ramya Nambeesan	Drama	jilebi-2023
2023	The Trial	Raam Ganni		Spandana Palli	Drama	the-trial-2023
2023	Harsha Vardhan	Neha Shetty and  MS Rajashekar reddy  are not corr	Naveen Chandra	Gauthami	Drama	harsha-vardhan-2023
2023	Bandra	Arun Gopy		Tamannaah Bhatia	Action	bandra-2023
2022	Plan A Plan B	Shashanka Ghosh		Tamannaah Bhatia	Romance	plan-a-plan-b-2022
2022	Bommala Koluvu	Subbu Vedula of Raahu fame and starring himself	himself	Priyanka Sharma	Drama	bommala-koluvu-2022
2022	Monster	Vysakh			Action	monster-2022
2022	Maha	U.R. Jameel			Crime	maha-2022
