name1,id1,slug1,name2,id2,slug2,match_type,similarity,confidence,action,keep_id,reason
"Bhanu Chander","71476596-7275-4532-be84-631e99c81e15","","Bhanuchander","77b6b8f3-559d-4563-81a5-b9a65edf600f","celeb-bhanuchander","exact_name",1.0000,0.9800,"auto_merge","77b6b8f3-559d-4563-81a5-b9a65edf600f","Exact normalized name match: ""Bhanu Chander"" vs ""Bhanuchander"""
"C. S. Rao","da6ce938-b660-4ad9-ad23-ebd8b91a9dda","celeb-c-s-rao","C.S. Rao","0a022e7f-f8cb-4e3c-9ac5-c16bd85e16d3","celeb-c-s-rao","exact_name",1.0000,0.9800,"auto_merge","da6ce938-b660-4ad9-ad23-ebd8b91a9dda","Exact normalized name match: ""C. S. Rao"" vs ""C.S. Rao"""
"Chandra Mohan","7b4239ee-a744-4591-9b04-4e8609627e7b","celeb-chandra-mohan","Chandramohan","39963462-2470-488d-8e0b-0d75a0acd7e5","celeb-chandramohan","exact_name",1.0000,0.9800,"auto_merge","7b4239ee-a744-4591-9b04-4e8609627e7b","Exact normalized name match: ""Chandra Mohan"" vs ""Chandramohan"""
"E V V Satyanarayana","da60dad4-f36d-4e36-8467-a231c42f9524","celeb-e-v-v-satyanarayana","E. V. V. Satyanarayana","ec8d245c-7c81-41c5-93f9-d0a458d2b8a8","","exact_name",1.0000,0.9800,"auto_merge","ec8d245c-7c81-41c5-93f9-d0a458d2b8a8","Exact normalized name match: ""E V V Satyanarayana"" vs ""E. V. V. Satyanarayana"""
"E V V Satyanarayana","da60dad4-f36d-4e36-8467-a231c42f9524","celeb-e-v-v-satyanarayana","E.V.V. Satyanarayana","25f2f198-b386-463a-87d4-61655dbe088d","celeb-e-v-v-satyanarayana","exact_name",1.0000,0.9800,"auto_merge","25f2f198-b386-463a-87d4-61655dbe088d","Exact normalized name match: ""E V V Satyanarayana"" vs ""E.V.V. Satyanarayana"""
"Jaya Prada","9144620f-4abd-4ba6-a713-494ea336cf76","jaya-prada","Jayaprada","fcb5d352-c9e7-4fd3-9aac-7fbe8c18a818","","exact_name",1.0000,0.9800,"auto_merge","9144620f-4abd-4ba6-a713-494ea336cf76","Exact normalized name match: ""Jaya Prada"" vs ""Jayaprada"""
"K Balachander","e47f51c1-c14a-4a73-b461-eae5e17ab72b","celeb-k-balachander","K. Balachander","aefdd1b5-016c-43f8-ac19-c1cb18fbc061","","exact_name",1.0000,0.9800,"auto_merge","aefdd1b5-016c-43f8-ac19-c1cb18fbc061","Exact normalized name match: ""K Balachander"" vs ""K. Balachander"""
"K. S. R. Das","6a903db0-b953-48e2-ace3-c370a3653386","celeb-k-s-r-das","K.S.R. Das","a6215fa5-680b-4b0b-afcd-0e43accadbea","celeb-k-s-r-das","exact_name",1.0000,0.9800,"auto_merge","a6215fa5-680b-4b0b-afcd-0e43accadbea","Exact normalized name match: ""K. S. R. Das"" vs ""K.S.R. Das"""
"Kodanda Rami Reddy","9f7a6c1d-c515-4062-9436-ae170cc37094","celeb-kodanda-rami-reddy","Kodandarami Reddy","b15157d0-e667-4be8-b470-eb6955a9b3c6","celeb-kodandarami-reddy","exact_name",1.0000,0.9800,"auto_merge","b15157d0-e667-4be8-b470-eb6955a9b3c6","Exact normalized name match: ""Kodanda Rami Reddy"" vs ""Kodandarami Reddy"""
"N T Rama Rao","56e96776-389c-498c-9e4d-e099031e7f04","n-t-rama-rao","N.T. Rama Rao","2066cd3d-60ec-46b2-86f0-eb4c50b2253a","celeb-n-t-rama-rao","exact_name",1.0000,0.9800,"auto_merge","2066cd3d-60ec-46b2-86f0-eb4c50b2253a","Exact normalized name match: ""N T Rama Rao"" vs ""N.T. Rama Rao"""
