Year	Title	Slug	Hero	Heroine	Director	Music Director	Cinematographer	Editor	Writer	Producer	TMDB ID	Genres
	They Call Him OG 2	they-call-him-og-2-tba	Pawan Kalyan	No Female Lead	Sujeeth	S. Thaman			Sujeeth	DVV Danayya	1553748	Thriller; Action
2026	Ustaad Bhagat Singh	ustaad-bhagat-singh-2026	Pawan Kalyan	Sreeleela	Harish Shankar	Devi Sri Prasad	Sherry Wu	Sabrina Zhao	Sabrina Zhao	Naveen Yerneni	1022788	Action; Drama
2025	They Call Him OG	they-call-him-og-2025	Pawan Kalyan	Priyanka Arul Mohan	Sujeeth	S. Thaman	Ravi K. Chandran	Naveen Nooli	Sujeeth	DVV Danayya	1080365	Action; Thriller
2025	Hari Hara Veera Mallu: Part 1 – Sword vs Spirit	hari-hara-veera-mallu-part-1-sword-vs-spirit-2025	Pawan Kalyan	Bobby Deol	Jyothi Krishna	M.M. Keeravaani	Gnana Shekar V. S.	Praveen K. L.	Radha Krishna Jagarlamudi	A. Dayakar Rao	727121	Action; Adventure; Drama
2025	Hari Hara Veera Mallu	hari-hara-veera-mallu-2025	Pawan Kalyan	Bobby Deol	Jyothi Krishna	M.M. Keeravaani	Gnana Shekar V. S.	Praveen K. L.	Radha Krishna Jagarlamudi	A. Dayakar Rao	727121	Action; Adventure; Drama
2024	Double Engine	double-engine-2024	Pawan Ramesh	Gayatri Gupta	Camp Sasi	Vivek Sagar	Shashank Raghavula	Rohit Penumatsa		Siddharth Rallapalli	1026439	Drama
2022	Bheemla Nayak	bheemla-nayak-2022	Pawan Kalyan	Nithya Menen	Sagar Chandra	S. Thaman	Ravi K. Chandran	Naveen Nooli	Trivikram Srinivas	Suryadevara Naga Vamsi	811942	Action; Drama; Thriller
2021	Vakeel Saab	vakeel-saab-2021	Pawan Kalyan	Shruti Haasan	Venu Sriram	S. Thaman	P. S. Vinod	Prawin Pudi	Venu Sriram	Shirish	673732	Action; Thriller; Crime; Drama
2017	Katamarayudu	katamarayudu-2017	Pawan Kalyan	Tarun Arora	Kishore Kumar Pardasani	Anup Rubens	Prasad Murella	Gautham Raju	Deepak Raja	Sharath Marar	440794	Action; Drama; Family
2016	Sardaar Gabbar Singh	sardaar-gabbar-singh-2016	Pawan Kalyan	Kajal Aggarwal	Bobby Kolli	Devi Sri Prasad	Arthur Wilson	Gautham Raju	Pawan Kalyan	Pawan Kalyan	371811	Comedy; Action
2015	Gopala Gopala	gopala-gopala-2015	Pawan Kalyan	Madhu Shalini	Kishore Kumar Pardasani	Anup Rubens	Jayanan Vincent	Gautham Raju	Kishore Kumar	Daggubati Suresh Babu	279449	Comedy; Drama; Social
2013	Atharintiki Daaredi	atharintiki-daaredi-2013	Pawan Kalyan	Samantha	Trivikram Srinivas	Devi Sri Prasad	Prasad Murella	Prawin Pudi	Trivikram Srinivas	BVSN Prasad	224061	Action; Comedy; Drama
2013	Attarintiki Daredi	attarintiki-daredi-2013	Pawan Kalyan	Samantha Prabhu	Trivikram Srinivas	Devi Sri Prasad	Prasad Murella	Prawin Pudi	Trivikram Srinivas	BVSN Prasad	224061	Drama; Romance; Family
2012	Gabbar Singh	gabbar-singh-2012	Pawan Kalyan	Shruti Haasan	Harish Shankar	Devi Sri Prasad	Jayanan Vincent	Gautham Raju	Satish Vegesna	Bandla Ganesh	111836	Action; Comedy
2012	Cameraman Ganga Tho Rambabu	cameraman-ganga-tho-rambabu-2012	Pawan Kalyan	Tamannaah Bhatia	Puri Jagannadh	Mani Sharma	Shyam K. Naidu	S. R. Sekhar	Puri Jagannadh	DVV Danayya	138667	Drama; Action
2011	Panjaa	panjaa-2011	Pawan Kalyan	Adivi Sesh	Vishnuvardhan	Yuvan Shankar Raja	P. S. Vinod	Sreekar Prasad	Vishnu Varadhan	Shobu Yarlagadda	80539	Action; Drama; Thriller
2010	Pancharangi	pancharangi-2010	Pawan Kumar	Nidhi Subbaiah	Yogaraj Bhat						229430	Drama; Comedy
